# Source: user-provided Korean Path of Exile Ctrl+C clipboard text, 2026-07-31 through 2026-08-05.
# Only line endings were normalized. These lines are not derived from an external catalog.
# Format: verbatim implicit text<TAB>canonical id<TAB>observed count
인접 지역들 내 희귀 몬스터 수 30% 증가	adj-rare-1	4
모든 항해 지역 내 무리 규모 5% 증가	voy-pack-1	4
모든 항해 지역 내 무리 규모 7% 증가	voy-pack-2	3
지역에 살가운 해파리 등장	voy-jelly	3
모든 항해 지역에서 발견하는 망자의 유황 20% 증가	voy-sulph-2	3
인접 지역들 내 희귀 몬스터 수 60% 증가	adj-rare-2	3
인접 지역들에 갇힌 몬스터 4(2-4)마리 추가 등장	adj-ess-2	3
모든 항해 지역에서 발견하는 아이템 수량 8% 증가	voy-quant-1	2
인접 지역들에 에 거대 불가사리 5(4-5)마리 추가 등장	adj-star-1	2
모든 항해 지역에서 발견하는 망자의 유황 15% 증가	voy-sulph-1	2
몬스터가 일정 확률로 야생림 도깨비불 2000마리로 강화	adj-wisps-1	2
인접 지역들에 에 거대 불가사리 4(4-5)마리 추가 등장	adj-star-1	2
인접 지역들에 고통받는 혼백의 창살 1개 추가 등장	adj-spirit-1	2
모든 항해 지역 내 몬스터가 마법 이상으로 등장	voy-minmagic	2
인접 지역 내 몬스터가 떨어뜨리는 장비의 40%가 골드로 전환	adj-gold-1	2
인접 지역들에 에 거대 불가사리 7(6-7)마리 추가 등장	adj-star-2	2
인접 지역들 내 희귀 몬스터가 판테온 속성 1개 보유	adj-pantheon	1
인접 지역들에 통 무더기 14(12-15)개 추가 등장	adj-barrel-1	1
인접 지역들에 통 무더기 17(16-20)개 추가 등장	adj-barrel-2	1
인접 지역 내 몬스터가 떨어뜨리는 장비의 80%가 골드로 전환	adj-gold-2	1
모든 항해 지역 내 마법 몬스터 수 25% 증가	voy-magic	1
인접 지역들에서 떨어지는 목걸이가 10% 확률로 고유 목걸이로 떨어짐	adj-uamu-1	1
모든 항해 지역 내 희귀 몬스터 수 25% 증가	voy-rare	1
인접 지역들에 문어 무리 9(8-10)개 추가 등장	adj-octo-1	1
인접 지역들에 통 무더기 18(16-20)개 추가 등장	adj-barrel-2	1
모든 항해 지역 내 플레이어들이 영혼 포식자 획득	voy-soul	1
인접 지역들에 문어 무리 8(8-10)개 추가 등장	adj-octo-1	1
인접 지역들에서 떨어지는 허리띠가 20% 확률로 고유 허리띠로 떨어짐	adj-ubelt-2	1
모든 항해 지역 내 자연적으로 서식하는 희귀 몬스터가 에센스에 갇힘	voy-essence	1
인접 지역들에 황금 등불 4개 추가 등장	adj-lantern	1
모든 항해 지역에서 발견하는 아이템 희귀도 7% 증가	voy-rarity-1	1
인접 지역들에 금고 3(2-4)개 추가 등장	adj-box-2	1
인접 지역들에 신비학자의 금고 2개 추가 등장	adj-arcbox-1	1
인접 지역들에 고통받는 혼백의 창살 2개 추가 등장	adj-spirit-2	1
인접 지역들에 통 무더기 15(12-15)개 추가 등장	adj-barrel-1	1
인접 지역들 내 마법 몬스터 수 30% 증가	adj-magic-1	1
인접 지역들에 예언자의 금고 3개 추가 등장	adj-divbox-2	1
인접 지역에 게 무리 8(8-10)개 추가 등장	adj-crab-1	1
모든 항해 지역 내 희귀 몬스터가 100%의 확률로 사로잡힘	voy-possess	1
인접 지역들에 첩보원의 금고 2개 추가 등장	adj-opbox-1	1
인접 지역들에서 떨어지는 반지가 20% 확률로 고유 반지로 떨어짐	adj-uring-2	1
인접 지역들에서 떨어지는 아이템이 2% 확률로 분열된 등급	adj-fracture	1
앗지리의 영향력	adj-atziri	1
